año,mes,temp,precip,provincia
2023,10,15.587096774193547,65.3,CANAR
2023,11,15.473333333333333,75.5,CANAR
2023,12,15.37741935483871,191.9,CANAR
2024,1,15.490322580645161,126.8,CANAR
2024,2,15.075862068965517,222.1,CANAR
2024,3,15.235483870967743,131.6,CANAR
2024,4,15.226666666666667,144.1,CANAR
2024,5,15.083870967741936,200.29999999999998,CANAR
2024,6,14.033333333333333,89.2,CANAR
2024,7,13.803225806451612,91.5,CANAR
2024,8,13.90967741935484,49.9,CANAR
2024,9,14.986666666666668,64.0,CANAR
2024,10,15.070967741935483,114.5,CANAR
2024,11,15.196666666666665,99.0,CANAR
2024,12,14.45483870967742,231.2,CANAR
2025,1,13.887096774193548,184.8,CANAR
2025,2,14.075000000000001,257.5,CANAR
2025,3,13.87741935483871,268.3,CANAR
2025,4,14.023333333333333,354.3,CANAR
2025,5,13.338709677419354,209.9,CANAR
2025,6,13.47,161.5,CANAR
2025,7,12.8,149.79999999999998,CANAR
2025,8,13.077419354838709,78.4,CANAR
2025,9,13.44,171.4,CANAR
2025,10,13.583870967741936,197.3,CANAR
2025,11,14.286666666666667,228.3,CANAR
2025,12,13.990322580645161,59.4,CANAR
2026,1,14.325806451612904,268.8,CANAR
2026,2,13.742857142857144,255.7,CANAR
2026,3,14.325806451612904,175.5,CANAR
2026,4,14.226666666666667,192.79999999999998,CANAR
2026,5,14.683870967741935,189.2,CANAR
2026,6,13.883333333333333,122.8,CANAR
2026,7,14.474193548387097,92.5,CANAR
2012,1,12.245161290322581,373.0,CARCHI
2012,2,11.96896551724138,279.4,CARCHI
2012,3,12.016129032258064,240.6,CARCHI
2012,4,12.406666666666666,307.4,CARCHI
2012,5,11.845161290322581,143.6,CARCHI
2012,6,11.516666666666667,109.1,CARCHI
2012,7,11.109677419354838,136.9,CARCHI
2012,8,11.358064516129033,107.5,CARCHI
2012,9,11.663333333333332,78.2,CARCHI
2012,10,12.519354838709678,234.5,CARCHI
2012,11,12.866666666666667,292.8,CARCHI
2012,12,12.412903225806453,270.9,CARCHI
2013,1,12.832258064516129,132.7,CARCHI
2013,2,12.482142857142858,274.1,CARCHI
2013,3,12.851612903225806,255.8,CARCHI
2013,4,12.72,172.2,CARCHI
2013,5,12.464516129032257,260.8,CARCHI
2013,6,11.879999999999999,118.89999999999999,CARCHI
2013,7,11.016129032258064,161.1,CARCHI
2013,8,11.429032258064517,124.8,CARCHI
2013,9,12.193333333333333,84.1,CARCHI
2013,10,12.525806451612903,217.2,CARCHI
2013,11,12.423333333333334,245.1,CARCHI
2013,12,12.380645161290323,227.6,CARCHI
2014,1,12.46774193548387,255.5,CARCHI
2014,2,12.592857142857143,182.4,CARCHI
2014,3,12.538709677419355,389.7,CARCHI
2014,4,12.46,165.7,CARCHI
2014,5,12.503225806451614,268.7,CARCHI
2014,6,11.726666666666667,151.1,CARCHI
2014,7,11.148387096774194,180.4,CARCHI
2014,8,11.196774193548388,95.0,CARCHI
2014,9,12.033333333333333,85.5,CARCHI
2014,10,12.319354838709677,222.4,CARCHI
2014,11,12.606666666666666,283.7,CARCHI
2014,12,12.48709677419355,278.5,CARCHI
2015,1,12.083870967741936,222.3,CARCHI
2015,2,12.707142857142857,168.0,CARCHI
2015,3,12.758064516129032,279.0,CARCHI
2015,4,12.54,219.20000000000002,CARCHI
2015,5,12.506451612903225,140.5,CARCHI
2015,6,11.576666666666666,217.29999999999998,CARCHI
2015,7,11.606451612903227,176.2,CARCHI
2015,8,11.838709677419354,74.9,CARCHI
2015,9,12.546666666666665,65.7,CARCHI
2015,10,12.932258064516128,164.3,CARCHI
2015,11,13.036666666666667,285.9,CARCHI
2015,12,12.735483870967743,113.1,CARCHI
2016,1,13.616129032258065,187.70000000000002,CARCHI
2016,2,13.886206896551723,180.6,CARCHI
2016,3,13.887096774193548,221.2,CARCHI
2016,4,13.613333333333333,275.5,CARCHI
2016,5,13.064516129032258,211.3,CARCHI
2016,6,11.823333333333332,222.9,CARCHI
2016,7,11.280645161290321,134.8,CARCHI
2016,8,11.832258064516129,83.2,CARCHI
2016,9,12.306666666666667,108.3,CARCHI
2016,10,12.974193548387097,258.1,CARCHI
2016,11,13.203333333333335,192.9,CARCHI
2016,12,12.741935483870968,311.5,CARCHI
2017,1,10.261290322580646,214.1,CARCHI
2017,2,10.639285714285714,123.60000000000001,CARCHI
2017,3,10.741935483870968,243.20000000000002,CARCHI
2017,4,10.826666666666666,147.0,CARCHI
2017,5,10.635483870967741,127.8,CARCHI
2017,6,10.25,108.2,CARCHI
2017,7,9.593548387096773,169.6,CARCHI
2017,8,9.16451612903226,48.0,CARCHI
2017,9,9.83,62.800000000000004,CARCHI
2017,10,10.290322580645162,110.3,CARCHI
2017,11,10.956666666666667,174.4,CARCHI
2017,12,10.53225806451613,181.2,CARCHI
2018,1,9.996774193548386,210.6,CARCHI
